"At","Sentimen","Review","Bintang"
"2020-10-18 19:32:19","1","gud","5"
"2020-10-13 15:27:48","1","Baguss","5"
"2020-10-13 08:14:26","1","Good","5"
"2020-10-12 18:44:35","1","Bagus bgtt","5"
"2020-10-12 10:00:25","1","One stop shopping make up and skin care","5"
"2020-10-12 08:25:07","1","Mantep","5"
"2020-10-11 23:41:15","1","Ok","5"
"2020-10-11 21:42:18","1","Bagus","5"
"2020-10-11 16:58:59","1","Good","5"
"2020-10-11 11:39:25","1","Good","5"
"2020-10-06 21:21:24","1","Ditunggu promo promonya lagiii","4"
"2020-10-06 18:02:00","0","Dahlahhhhhhh","3"
"2020-10-03 18:38:31","1","pokoknya ngah nyesel deh download ini","5"
"2020-10-03 11:39:02","1","Thank sociolla selalu puas belanja dsini","5"
"2020-10-02 21:25:08","1","App yg sgt membantu & memuaskan","5"
"2020-10-01 21:07:47","1","Sangat membantu para wanita","5"
"2020-09-30 13:10:27","-1","Baru download ngeliat yang dah pake aplikasi nya pada kecewa ,jadi galau 🙄","1"
"2020-09-29 09:12:48","1","Love sociolla","5"
"2020-09-28 21:28:52","1","Sukak bgt Seandainya ada some by mi","5"
"2020-09-28 15:23:56","1","Sangat bagus","5"
"2020-09-28 13:47:22","1","Helpfull","5"
"2020-09-22 05:55:48","1","Saya Staff Di Warehouse Sociolla","5"
"2020-09-21 20:36:04","1","Olshop terbaik","5"
"2020-09-20 14:44:48","1","Bagussss","5"
"2020-09-18 06:55:25","1","Good","5"
"2020-09-10 21:11:14","1","Bguss xixi","5"
"2020-09-08 23:07:42","1","Good bangett ♥️","5"
"2020-09-08 06:05:36","1","Best","5"
"2020-09-05 17:02:27","1","Love it","5"
"2020-09-03 22:40:21","1","Sangat suka","5"
"2020-09-03 21:30:54","1","Nice","5"
"2020-09-01 14:54:12","0","Siciolla kenapa sih :( ,dulu kayanya baik"" aja Padahal suka sama ini app :(","3"
"2020-08-31 07:05:07","1","Baik sihh","4"
"2020-08-29 07:08:48","1","Suka belanja di soco","5"
"2020-08-29 00:10:25","1","Oke dah","5"
"2020-08-28 22:22:56","1","Luv u sociolla ...","5"
"2020-08-28 18:50:08","1","Mantap","5"
