"At","Sentimen","Review","Bintang"
"2020-10-17 20:18:47","1","Seneng belanja disini karna dah pastinya ori, pengiriman langsung jalan satu hari setelah bayar. Banyak diskon, admin responsif juga, metode pembayaran juga banyak dan reachable. Suka banget, tapi kadang ada suka eror gaje gitu. Selain itu udh bagus banget sih menurut aku. Recommended.","5"
"2020-10-17 07:44:22","-1","Pertamakali order langsung kecewa, di cancel karna barang nya ada satu yg kosong. Proses pengembalian uang ribettttt, check out tgl 13 oktober, konfirmasi tgl 15, uang bakal di kembalikan dalam 7-10 hari kerja maks tgl 2 November... Kelamaan woiiii... Karna banyak antrian refund katanya,.... Gk mau lagi order lewat sini...","1"
"2020-10-17 05:29:05","-1","Sociolla parah. Proses refund gak tau harus nunggu berapa lama . Pdahal ini sdh masuk 3hr kerja. Uang saya 775.439 belum dibalikin. Padahal sociolla sendiri yg cancel order saya krn ada stock brg yg kosong. Email juga udah 2hr gak direspon.","1"
"2020-10-17 00:12:18","-1","Sy order 4 product di tanggal 11 september dan yg dtg cuman 2... Ini udah 16 oktober artinya udah SEBULAN LEBIHH gak ada kejelasan. Smpe dtg ke counternya buat nanyain malah disuruh hubungi cs nya. Gmn sih pelayanan burukkkkkk","1"
"2020-10-16 14:34:27","0","Kecewa bgt sm cs nya sociolla yg bener2 slowrespond nya bgt","3"
"2020-10-15 18:16:42","-1","Pembayaran batas waktu nya 24 jam tapi belum 24 jam pas mau bayar transaksi tidak ditemukan . Apaan kecewa banget","1"
"2020-10-15 14:19:26","1","Mempermudah belanja skincareku","5"
"2020-10-13 21:23:13","1","ngehabisin kuota tpi stuck aja. down tidak segera diperbaiki. bikin voucher hangus dan responnya lambat👿🤬","5"
"2020-10-12 23:34:39","-1","ini gimana sih kok malah orderan saya dicancel, padahal sudah melakukan pembayaran tgl 9 oktober eh saya cek hari ini tiba2 cancel sih? ini gimana nih dari pihak sociolla apakah ada refund uang apa gimana? sumpah kecewa banget","2"
"2020-10-12 12:08:05","1","Ngeliat ulasan orang2 saya kaget..pertama x belanja di sini,, alhamdulillah lancar2 aja..brngnya jg sampenya lumyan cpt qo (2 hari)..","5"
"2020-10-11 15:12:29","-1","Kecewa sm sociolla, pembayaran pake sopipay ga detect akhirnya gagal co. Trus tiba2 cancel orderan dan refund dananya 7harian lama banget. Org kan mau beli yg lain jd terkendala. Kesellll","2"
"2020-10-10 23:43:37","0","kacau sih katanya gratis ongkir ternyata masi diminta ongkir hehe","3"
"2020-10-10 11:09:53","-1","Kecewa banget hampir sejam ngurusin proses pembayaran via shopee pay nggak bisa. Selalu muncul kalimat bahwa aplikasi tsb tidak terinstal padahal jelas jelas punya aplikasinya. Tanya via wa no respon email apalagi. Ribet banget ketimbang mau bayar doang. Sampai pesanan saya dibatalkan saya ulangi lagi voucher yg udah di reedem tadi sudah tidak bisa digunakan. Diulang pesen lagi tetep g bisa. Ribet banget asli.","1"
"2020-10-08 17:51:13","-1","Ini pertama kali pake aplikasi ini. Kesannya kecewa sekali. Saya pesan 3 item, tapi yg di kirim cuma 1 item, yang 2 harus reorder lagi padahal sudah bayar lewat indomaret tapi di cancel oleh aplikasi. DM lewat ig dan e-mail tapi tdk ada jawaban knp tbtb di cancel.","1"
"2020-10-07 10:47:56","1","Freongx bikin ngiler mau belanja z","5"
"2020-10-06 17:41:28","-1","saya ksh bintang 2 dlu ya krna saya bru mencoba n baru dowload aplikasi socioLLa ini smoga aplikasi ini produk2 yg ada di dlm nya bner2 100% ori n 100% smpe ditangan konsumen dgn aman n sesuai dgn di gambar agar konsumen merasa puas n slalu berlanggan socioLLa ini amin ya allah..... 😘😘😘😘😘","2"
"2020-10-06 15:11:48","-1","Malu-maluin banget sih sekelas Sociolla ternyata masih ambil 'main' di ongkir. Sebelumnya order selalu di atas 250rb, jadi free ongkir. Giliran sekarang baru banget pertama kali order dengan ongkir, oh baru tahu ternyata Sociolla 'kemaruk' juga masih main di ongkir. Tarif ke alamat saya kena 22.000, itu emang bener, tarif dengan JNE atau J&T. Ternyata apa? Dikirimnya via Wahana yang ongkir ke alamat saya cuma 7.000 wkwkkwk. Doyan begini juga nih ternyata. Yakali 15.000 x 500 customer sehari 💩","1"
"2020-10-06 14:21:27","0","Pertama kali Belanja d sini aga ribet yaa.. uda gitu pengiriman lama.. ga ada pilihan jasa kirimnya lg...nunda* mau pergi .. eh ga jd dateng barangny 😪","3"
"2020-10-06 13:01:25","-1","Sdh di bayar full,,tiba2 di info barang kosong,,,pas udh di batalin ehh sampe skrg dana blm jg dikembaliin CS di email pada gk respon...asli kecewa banget,gk mau lg order dsni.","1"
"2020-10-06 04:53:52","-1","Please balikin uangku yg udah saya transfer. Saya udah keep udah langsung tf. Lama nunggu barang gak dikirim langsung dicancel. Gak ada pemberitahuan apa². Memang 130 ribu itu gak banyak, tapi saya kerja juga pakai tenaga dan pikiran. Capek juga. Malah ditipu kayak gini. Mohon segera diproses dan kembalikan uang saya. 😠","1"
"2020-10-05 10:28:25","-1","Kecewa, saya pesan barang senka yg twinpack tapi hanya datang satu saja","2"
"2020-10-04 17:19:29","-1","Barang bisa di pesan giliran sudah payment baru diinfokan sold out, 2 kali CO semuanya do cancel. Yg 1 di cancel secara mendadak, 22 nya di cancel dengan alasan 1 produk yg sold out. Menguras emosi sekali pake apps ini. Kalo bukan karna saya punya gift card yg nilainya besar, gk mau deh belanja disini","1"
"2020-10-04 01:18:25","0","free shippingnya mahal banget. Harus minimal 250k. Dan diskonan ga ikut dihitung. Males banget jadinya mau belanja","3"
