"At","Sentimen","Review","Bintang"
"2020-10-13 22:27:39","1","Recomented banget banyak free nya 🤗😅","5"
"2020-10-11 22:36:37","1","barang ori n harga bersaing","5"
"2020-10-11 15:07:49","-1","Baik sekali produk dari sociolla emang keren, apalagi flash salenya wowwww, maxasih sociolla","1"
"2020-10-09 19:54:51","1","Barang original harga lebih murah","5"
"2020-10-09 11:37:12","1","Produknya dijamin ori & ber bpom","5"
"2020-10-04 20:48:42","1","Suka bgt sama aplikasi nya. Banyak produk yg biasa susah di cari. Jadi lebih gampang deh","4"
"2020-10-03 19:11:30","1","Belanja jd gk kawatir lg, karena barang di jamin ORI","5"
"2020-10-02 09:07:31","1","Produknya terpercaya tapi masih kurang lengkap, tambahin terus ya produknya.","4"
"2020-09-12 00:13:06","0","pas nyoba liat2 harganya, promonya standar yah. masi ada yg lebih murah. produknya jg kurang lengkap","3"
"2020-09-10 10:26:47","-1","Tolong jual produk the ordinary dan Carave, dan produk luar lainnya juga. Agar lbh mantap dan laris pembelian dari konsumen. Jgn produk korea mulu capeee gue serius caprrrt","1"
"2020-08-31 15:41:35","1","suka , tapi nyari someby mi ga ketemu 😪 , semoga nanti ada some by mi","5"
"2020-08-29 16:26:20","1","Seneng banget belanja disini banyak diskon dan produk pasti ori","5"
"2020-07-28 12:53:13","1","suka belanja disini, skincare yg aku cari ada dijual semua..","4"
"2020-07-13 19:40:36","1","Plis masukin the ordinary karna gatau mau beli dimana :(","4"
"2020-06-27 23:30:29","1","Aku suka banget klo belanja skincare di sini karna udah bpom dan pokoknya aman banget buat belanja di sini. Oh iya aku sempet nulis review product yg ku beli dan ada kesalahan pengetikan gitu,apa gak ada fitur edit gitu ya? :(","4"
"2020-06-26 12:03:25","1","Sukaaa banget sama sociolla emang bener2 situs kosmetik nomer 1 di indonesia! Tampilannya cantik dan pink-able banget kesukaan warna wanita. Sukses terus sociolla. Agar selalu berbagi socobox dan orang2 yg jdi tau sensasi mencoba produk yg blm pernah dicoba lalu review. Sukses selalu socoo. Smoga appnya ga error2 lgi ya klo banyak yg pake","5"
"2020-06-11 12:30:46","-1","Produk yg dijual tidak lengkap","1"
"2020-05-28 15:34:18","1","mudah mencari produk","5"
"2020-05-18 01:16:47","-1","beli produk make over setting spray, trus kardus atasnya di lem pake lakban dan ga rapi. trus pas di buka isinya sisa setengah. kalo emang tumpah pasti kardusnya basah, tapi ini ga tumpah kaya ada yang ambil, dan sisa setengah😭 rada nyesel bgt beli setting spray makeover disini.","1"
"2020-05-11 21:02:02","1","produknya ori semuaaaa","5"
"2020-05-09 06:35:09","1","Barang ori pengiriman cepat","5"
"2020-05-08 20:28:53","1","Bagus. Produk kecantikannya bagus juga. Kalo mau belanja di apl ini aja. Kan, gratis ongkir","5"
"2020-05-08 00:26:12","1","Cari skincare dan review andalan","5"
"2020-05-07 15:45:53","1","Banyak promo dan dicountnya, dan belanja juga lebih nyaman. Barangnya ori semuaa aku udah 2 kali beli skincare di sini dan recomended","4"
"2020-05-06 23:45:59","-1","Brand kosmetik / skincare nya kurang lengkap / banyak, produk2 populer / best seller banyak yg gak tersedia","2"
"2020-05-06 15:47:52","1","Begitu byk.pilihan dan spt mempunyai kosultan kecantikan pribadi....makasih SOCO","4"
"2020-05-06 11:00:42","1","Memudahkan pencarian kosmetik dan produk perawatan kecantikan","5"
"2020-05-06 00:43:52","-1","semoga semakin lengkap: (Brand)-nya","2"
"2020-05-06 00:35:46","1","Lengkap, barang bagus.","5"
"2020-05-02 15:55:32","1","Mantap.... Produk yang dijual asli dan bagus....","5"
