"At","Sentimen","Review","Bintang"
"2020-10-15 15:21:29","-1","Terlalu sering update:(","2"
"2020-10-14 20:31:16","0","Baru di update kemaren. Sekarang mau buka suruh update lagi","3"
"2020-10-14 07:41:15","1","Review nya sangat jelasss","4"
"2020-10-12 21:15:45","1","Mendingan skrg aplikasinya ga kluar2 sendiri kaya sebelumnya. Cm saran klo bs produk d kranjang biar bs di klik lg klo2 pgn liat lg review produknya sblm beli, kan repot harus back trs search dlu produk lg.","4"
"2020-10-12 12:31:31","1","Kok jadi suka nutup sendiri ya aplikasi nya padahal sebelumnya ngga :(","5"
"2020-10-12 11:18:12","-1","Sementara ini dua dulu, bingung banget ngetrack paketnya kalau sudah diperbaiki nambah bintangnya","2"
"2020-10-11 22:53:16","1","aplikasi yang bagus, membantu saya sekali untuk membeli dan melihat review produk-produk kecantikan. tapi yang agak disayangkan, kadang suka ada bug atau section wishlist yang harus direfresh berulang2 dan scroll ke bawahnya yang agak lama gitu, bahkan kadang produk yang sebenernya udah saya wishlist, eh di section wishlistnya engga ada. terus reviewnya juga nge-bug. untuk ke depannya semoga ada upgrade buat fixin bugnya~","4"
"2020-10-10 18:08:41","1","Selama ini barang yang di kirim dari sociolla ke saya selalu bagus sih. Kemaren sempet udah payment tapi ternyata ada salah satu stock barang mereka ada yang out of stock. mereka langsung info. Cuman, ya. Kalo saran aku sebaiknya fitur di sociolla ditambah deh, seperti tanya ketersediaan barang gitu. Sama seperti nya kalo misal kaya kejadian aku kemaren. Tolong dikirim notifikasi dari soco nya langsung supaya tau kalo ternyata barangnya gk ready. Udh segitu aja, semoga soco sukses trus amin 😊","4"
"2020-10-09 11:17:50","1","Ini bagus tp to gw bingung waktu mau log in","4"
"2020-10-05 22:39:37","-1","Ecommerse ter trusted tapi kenapa yaaa dikit dikit minta updateee:( capek akutu update melulu","2"
"2020-10-05 20:27:38","-1","Update terus tapi tetep lemot. Heuft","1"
"2020-10-03 23:41:20","-1","Aplikasinya sering error saat mau lihat flash sale. Tolong diperbaiki!","1"
"2020-10-03 14:32:48","0","Tolong dong, mau pilih metode pembayaran ngga bisa2 😏😏😏 ini aplikasinya yg bermasalah atau bagaimana","3"
"2020-09-30 12:00:16","-1","Poin soco ilang 510 poin . 2x konfirmasi dibilang maintenance terus .","2"
"2020-09-28 21:59:05","-1","Ini aplikasi suka retry gitu yah.?? Baru klik 1 produk ngetry ulang. Bingung akunyaa. 😑 Apa aku sendiri yah.?","2"
"2020-09-18 11:44:23","1","gada fitur cancel sama kalo payment barcode nya suka ilang grgr kepencet pls semoga kedepannya diperbaiki ya","4"
"2020-09-17 00:08:20","-1","Sedih bgt sih app soci sering loading lamaaaaa terus minta oerbarui terus, malah mending pake web. Tolomg diperbaiki ya min makasih","2"
"2020-09-16 05:10:08","1","tiap kali buka aplikasi minta update mulu, astaga","4"
"2020-09-15 17:30:43","1","Mungkin udah banyak orang resah soal ini tapi emng bener sistem di apk soco ini beda bgt sama apk e commers lain, minggu ini udah order 3 kali tapi 3 dari 2 nya itu di refund karena alasan stock kosong, di refund pertama kalinya sih gppa ya karena emng mungkin abis dan ga ke update stocknya diapk tapi pas order LAGI terus di refund LAGI gara² stock kosong LAGI, Saya kesel ternyata emng sistem apk nya yang belum bisa sebanding sama e commers lain kaya shopee yang bener bisa update stock realtime","5"
"2020-09-14 07:17:08","1","So far sih masih nyaman dan bagus, gak lemot juga. Keep it uo soco","5"
"2020-09-10 10:09:04","1","Baru di instal udah minta di update ... Gimana dah ... 😂","4"
"2020-09-08 21:02:10","-1","Gila sih menurut gw Bisa2 nya ke cencel sendiri dan terus dia order sendiri tanpa gw harus buat kan pesanan dan bisa bisa nya di pilih kan item nya sendiri .. Kan gila begituu udh saran gw uninsatal mending aplikasi begini sangat 2 ga guna bikin rugi yang ada","1"
"2020-09-06 15:48:36","-1","Minta di upgrade mulu","2"
"2020-09-05 10:44:29","-1","Kenapa sih ini aplikasi??? Mau daftar malah dibilang nama gak boleh pake karakter spesial padahal udah bener nama ktp, belum lagi alamat email dibilang salah?? Salah darimana nya woi???","1"
"2020-09-04 20:08:52","1","Tolong di perbaiki dibagian kelengkapan profil, mengapa asal ingin save selalu gagal? Terimakasih atas bantuan nya","4"
"2020-08-29 18:25:39","0","Pas udah order dan iseng buka"" review di google play ternyata banyak yg kecewa krn barang abis, susah untuk refund, dan apknya lama. Wah agak degdegan nih, tp untungnya belum beli yg agak mahal, masih di bawah 100 rb. Eh alhamdulillah hari ini barangnya sampe dgn selamat. Aku juga sempet mengalami kendala pas mau bayar smp aku refresh berkali"" baru bisa. Semoga pihak pengembang bisa memperbaiki sistem apk dan kecocokan stok barangnya biar ga eror lagi","3"
"2020-08-29 08:51:49","0","Kenapa ya kadang2 suka lemot terus suka ketutup sendiri","3"
"2020-08-28 20:42:34","0","Sebelum update, ga masalah. Setelah update kok aplikasi seperti putus koneksi. Update profil ga bisa, ngepost video ga bisa. Apa² jd ""something wrong, try later"". Terus, lihat komentar yg lain, kok jd takut² belanja lewat aplikasi. Lewat web aja kali ya...","3"
"2020-08-28 13:20:29","1","sering force close","4"
"2020-08-28 10:22:30","0","aplikasinya lemot","3"
"2020-08-26 23:20:18","0","Kenap ya kok apk berhenti mulu dan memuat ulang mulu, saya sudah bersihkan semua sampah dihp ttp seperti itu padahal apk lain baik2 aja dehh. Haduh lgsg uninstall karena gabisa dipake :3","3"
"2020-08-26 02:04:28","-1","Gabisa login ada ada aja bugsnya","1"
"2020-08-25 19:08:30","-1","Aplikasi nya g bisa log in makasih :) Btw dana refund saya blm di TF juga?","1"
"2020-08-25 14:46:58","-1","Ga bisa login","1"
"2020-08-23 19:50:49","0","Tolong perbaiki komentar reviewnya saya scroll ke bawah malah ke ulang2","3"
"2020-08-20 22:16:12","0","Aplikasinya lemot banget, ga nyaman nyari produk dan review nya di apps nya. Tolong di perbaiki. Aplikasi ini dibuat untuk memudahkan bukannya malah bikin tambah ribet.","3"
"2020-08-18 22:08:38","-1","JELEK BANGET APLIKASINYA!!! STOK TIDAK UPDATE WAKTU PEMBAYARAN TERLALU CEPAT BARANG MASAH TERSEDIA TP TDK BS DI CHEKOUT KASIH BINTANG 1 PUN RASANYA SAYANG BANGET","1"
"2020-08-17 10:15:12","1","Aplikasinya suka bermasalah :(","4"
"2020-08-13 16:11:04","-1","Tolong aplikasi nya diperbaiki lagi dong. Postingan terbaru selalu tidak ada pembaharuan di app saya. Malah post terakhir dari beberapa bulan yang lalu, padahal jika di buka di web selalu ada postingan terbaru","1"
"2020-08-10 14:09:50","-1","Woy bambang ngapain bikin aplikasi??? Log in aja ga bisaaaaaa ah elah. Review soco banyak yg ancur juga. Lucu aja sih wkwkwkwk udah gitu ga ada tanggapan. Udah cukup lah sakit ati dicuekin doi, elu jgn ikut²an :')","1"
"2020-08-09 20:05:24","-1","Sistemnya sangat buruk. Ngadain sale gede gedean, trs pas di proses order dikabarin barang kosong padahal di platform brandnya jelas masih ada. Minta kejelasan order dan refund sangat rumit.","1"
"2020-08-06 19:20:57","0","Sumpah kedua kalinya mau pesen di sini gk bisa2 lemot nya minta ampun padahal wifi pake ,udah di update ttep ga bisa.padahal Uda pilih barang yg mau dibeli,cus chekout ok gk masalah cus masuk proceed to payment tinggal pemilihan pembayaran malah gk muncul muncul daftar pilhannya gk ada tulisannya samsek.tolong dong ditingkatkan kualitas aplikasinya !!! Biar yg pada beli gk kecewa .tks :D","3"
"2020-08-04 17:42:03","-1","Tiap mau baca review produk selalu ngeblank, di scroll review dari akun itu2 lg yg muncul","2"
"2020-08-03 22:58:05","0","Maaf sebelumnya, kok hari ini saya ga bisa checkout ya, ga bisa pilih metode pembayaran. Mohon diperbaiki aplikasi dan service pelanggannya.","3"
"2020-07-27 20:41:50","0","Gtw kenapa ga bisa dibuka masa aplikasinya hari ini :(((((, jadi cepet error not responding gitu padahal jaringan oke, sedih.","3"
"2020-07-27 20:38:56","-1","Kenapa disoco timeline nya nge blank halaman kosong diaplikasi ini? Lagi ada pembenahan atau gimana? Sedang mau nulis news letter sudah diklik foto dan di upload foto masih saja ga bisa submit ""gambar wajib diberi""","2"
"2020-07-22 08:34:10","-1","Tidak bisa login walaupun email dan password sudah benar","1"
"2020-07-20 06:30:23","-1","Susah amat masuk ny masa imel ny salah terus","1"
"2020-07-19 04:56:33","0","Dear Tim Sociolla, apakah aplikasinya sedang bermasalah? Karena saya dari siang tidak bisa check out dan melakukan proses pembayaran.","3"
"2020-07-18 10:12:14","-1","Gimana sih, saya mau login kok gak bisa, email nya salah atau gak aktif atau paswordnya yg salah padahal email saya aktif dan pasword saya juga gk salah, gimana sih ini aplinya bikin repot aja, klo saya tau bakalan bikin repot kayak gini mending saya gak instal, petbaikin dong bikin lebih mudah gtu biar gak sia sia nginstal apli sociolla ini,, 😒","1"
"2020-07-18 00:41:12","-1","Baru saja install, ga bisa login.. Sampe reset password pun setelah diklik login ga ada berubah apa2.. Tolong diperbaiki.. Trims","1"
"2020-07-11 11:56:47","-1","Ga bisa review barang","1"
"2020-07-10 21:55:18","1","Suka pembayaran dipermudah lewat gopay dan ovo","4"
"2020-07-10 09:15:08","1","Kenapa pas mau daftar menjadi anggota sbn susahnya minta ampun poto gk masuk masuk","5"
"2020-07-04 07:52:25","-1","Permisi, kak. Saya baru instal aplikasi SOCO nya, saya mau daftar tapi selalu ada peringatan ngga ada jaringan internet. Padahal untuk buka aplikasi lain bisa dan untuk internetan juga lancar, dan sinyalnya juga bagus. Tolong dijawab ya, kak. Saya pengen banget ngegunain aplikasi ini :)","1"
"2020-07-02 17:52:43","-1","aplikasinya selalu susah untuk di buka.","1"
"2020-06-25 13:28:55","-1","Mau login tapi selalu tidak bisa","1"
"2020-06-22 09:49:48","1","Aplikasi loading nya lama sekali. But over all good.","4"
"2020-06-20 23:24:05","-1","Suka ngeheng kalau bayar , aplikasi lama banget , pengembalian dana lambat .. tolong perbaiki","2"
"2020-06-15 02:17:35","0","Hallo saya pengguna baru, ada kesalahan penulisan saat mencantumkan username media sosial tapi waktu mau mengeditnya muncul tulisan ""aplikasi telah berhenti"" tapi dipakai untuk revies dan yg lainnya masih normal tidak muncul tulisan tersebut... Gimana ya jalan keluarnya?","3"
"2020-06-12 17:37:50","-1","Sistem points apakah di hilangkan??..point saya kok tidak bertambah..kemudian saya saya mau menghunakan point untuk membeli produk tidak bisa di gunakan??? Sudah komplain beberapa kali tapi gak ada kemajuan 🙏🙏","1"
"2020-06-09 15:42:57","-1","saya tidak dapat menghapus akun ini, bagaimana caranya? tidak berguna untuk saya.","1"
"2020-06-01 18:10:00","-1","Ini aplikasi gak bisa buat lacak pengiriman ya ? Pengirimannya lama bgt mau lacak juga gak bisa, gak dikasih nomor resi jg,,","1"
"2020-05-30 21:02:16","-1","Bingung banget udah download dan re-instal berapa kali tetap gak bisa login akun padahal kemaren gara gara update aplikasi huhuuu sedih bgt aplikasinya bukan mempermudah akses malah susah banget","2"
"2020-05-28 11:24:43","-1","Lama bgt loading nya pas mau checkout, pas udah mau bayar pun lama bgt loading nya-__-","2"
"2020-05-27 23:50:39","-1","Lemot sekali sampe ketinggalan promo","1"
"2020-05-27 23:17:22","-1","Emosi sendiri pakai aplikasi ini, sdh download pembaruan paling baru pun tetap sama gak ada perubahan, yg kdg tiba2 aplikasi tdk merespon lah, lemot input kode vocher lah, tambah banyak yg akses tambah lemot luarrrrr biasa. Jaringan hp bagus, scroll di aplikasi lain lancar2 aja Sayang bgt toko sebagus ini IT nya jelek bgt, belajar atau tanya2 dulu bisa kali ya dg ecommerce lain. Kasih perubahan dikit jgn bermasalah terus dg aplikasi kenapa","1"
"2020-05-26 18:01:53","-1","Apknya aneh, gabisa log in sama sekali, trus masak klo mau pesen skincare lewat web??tolong perbaiki, banyak yg sudah mengeluh","1"
"2020-05-26 16:46:57","-1","Aplikasi sangat sangat lemot","1"
"2020-05-26 11:46:51","-1","Aplikasi kok nge update teros kerjaan nya zzzzz","1"
"2020-05-19 12:32:30","0","Pembaruan terus malesin","3"
"2020-05-19 11:54:37","1","Saya sudah membayar pesanan, namun tulisan di order status malah failed, sekarang bahkan saya tak bisa membuka aplikasinya, ada apa?","5"
"2020-05-17 13:34:27","-1","Belakangan ini suka eror, gabisa nampilin produk","2"
"2020-05-13 16:43:10","0","Apk tidak berjalan baik karena minta di upgrade, tapi setelah di upgrade apk malah keluar terus dan tidak berjalan dengan baik.","3"
"2020-05-12 05:01:43","-1","Kenapa tiap lagi searching produk selalu error connection, dan app nya sering banget keluar sendiri","2"
"2020-05-11 19:07:40","0","ini maap knp setiap mo ngeripiu ambil poto produk kogh balik sendiri kgk bisa dibuka terus tolong penanganannya dongggggg ihhh gemesh bgt dah dah ripiu panjang"" mlh balik sendiri ilang lagi begono aja terus ihhh","3"
"2020-05-10 11:55:07","-1","Apaan aplikasi nya erroorrrrrrr","2"
"2020-05-09 18:23:17","-1","dear admin, tolong perbaiki aplikasi ini. ketika aku search produk nya, begitu aku klik untuk detailnya muncul error connection padahal sinyal kuota aku gaada masalah. selalu begitu. walaupun aku random kliknya pun masalahnya tetep sama.","2"
"2020-05-09 10:39:00","0","Kadang loading nya lamaa banget,padahal wifi nya bagus tolong diperbaiki ya","3"
"2020-05-09 02:27:42","-1","mau order tapi tidak bisa melakukan proses pembayaran","1"
"2020-05-08 17:21:12","-1","aplikasi nya suka nutup sendiri. keseringan update. lemot juga. first impression ke aplikasi ini bagus tp kok lama2 mengecewakan","2"
"2020-05-08 11:13:36","-1","Kenapa ya mau verifikasi nomor hp ko lama bgt. Tolong aplikasinya agar lebih baik","1"
"2020-05-08 07:44:04","-1","Minta di update terus","1"
"2020-05-07 22:25:33","-1","Udh di update tapi masih ga bisa dibuka Kalo diperbaiki aku ubah ratingnya 😣 please 😣","2"
"2020-05-07 14:33:46","0","Aplikasi sering eror","3"
"2020-05-07 00:29:30","-1","Capek banget minta update terus setiap dua hari sekali-_-","2"
"2020-05-06 20:11:05","0","Lemot bjir","3"
"2020-05-06 19:55:30","0","Klik shop langsung keluar sendiri. Uninstal lagi dink, kirain makin baik eh buka muncul ""update"" yg ada makin eror. Hadeuhh","3"
"2020-05-06 15:16:00","0","Crash terus dan berat im not sure if its only me but honestly Page awal yg review ga menarik knpa ga page shop yg jdi halaman muka karna kita buka buat shop and reading is optional","3"
"2020-05-06 06:28:45","-1","Loading....... sampe saya bosen nunggunya","2"
