,At,Sentimen,Review,Bintang,Aspek,data_cleaned
0,2020-10-18 19:32:19,1,gud,5,Lainnya,good
1,2020-10-17 20:18:47,1,"Seneng belanja disini karna dah pastinya ori, pengiriman langsung jalan satu hari setelah bayar. Banyak diskon, admin responsif juga, metode pembayaran juga banyak dan reachable. Suka banget, tapi kadang ada suka eror gaje gitu. Selain itu udh bagus banget sih menurut aku. Recommended.",5,Layanan,senang belanja disini karena deh pastinya original pengiriman langsung jalan satu hari setelah bayar banyak diskon admin responsif juga metode pembayaran juga banyak dan reachable suka sekali tetapi terkadang ada suka error tidak jelas begitu selain itu sudah bagus sekali sih menurut saya recommended
2,2020-10-17 07:44:22,-1,"Pertamakali order langsung kecewa, di cancel karna barang nya ada satu yg kosong. Proses pengembalian uang ribettttt, check out tgl 13 oktober, konfirmasi tgl 15, uang bakal di kembalikan dalam 7-10 hari kerja maks tgl 2 November... Kelamaan woiiii... Karna banyak antrian refund katanya,.... Gk mau lagi order lewat sini...",1,Layanan,pertama kali order langsung kecewa di cancel karena barang nya ada satu yang kosong proses pengembalian uang sulit check out tanggal 13 oktober konfirmasi tanggal 15 uang akan di kembalikan dalam 10 hari kerja maks tanggal november kelamaan woi karena banyak antrian refund katanya tidak ingin sedang order lewat sini
3,2020-10-17 05:29:05,-1,Sociolla parah. Proses refund gak tau harus nunggu berapa lama . Pdahal ini sdh masuk 3hr kerja. Uang saya 775.439 belum dibalikin. Padahal sociolla sendiri yg cancel order saya krn ada stock brg yg kosong. Email juga udah 2hr gak direspon.,1,Layanan,sociola parah proses refund tidak tahu harus menunggu berapa lama padahal ini sudah masuk hari kerja uang saya 775.439 belum dikembalikan padahal sociola sendiri yang cancel order saya karena ada stock barang yang kosong email juga udah hari tidak direspon
4,2020-10-17 00:12:18,-1,Sy order 4 product di tanggal 11 september dan yg dtg cuman 2... Ini udah 16 oktober artinya udah SEBULAN LEBIHH gak ada kejelasan. Smpe dtg ke counternya buat nanyain malah disuruh hubungi cs nya. Gmn sih pelayanan burukkkkkk,1,Layanan,saya order product di tanggal 11 september dan yang datang hanya ini udah 16 oktober artinya udah sebulan lebih tidak ada kejelasan sampai datang ke counternya untuk menanyakan menjadi disuruh hubungi customer service nya bagaimana sih pelayanan buruk
5,2020-10-16 14:34:27,0,Kecewa bgt sm cs nya sociolla yg bener2 slowrespond nya bgt,3,Layanan,kecewa sekali dengan customer service nya sociola yang benar benar slowrespond nya sekali
6,2020-10-15 18:16:42,-1,Pembayaran batas waktu nya 24 jam tapi belum 24 jam pas mau bayar transaksi tidak ditemukan . Apaan kecewa banget,1,Layanan,pembayaran batas waktu nya 24 jam tetapi belum 24 jam saat ingin bayar transaksi tidak ditemukan apa kecewa sekali
7,2020-10-15 15:21:29,-1,Terlalu sering update:(,2,Tampilan,terlalu selalu update
8,2020-10-15 14:19:26,1,Mempermudah belanja skincareku,5,Layanan,mempermudah belanja skincare aku
9,2020-10-14 20:31:16,0,Baru di update kemaren. Sekarang mau buka suruh update lagi,3,Tampilan,baru di update kemarin sekarang ingin buka perintah update sedang
10,2020-10-14 07:41:15,1,Review nya sangat jelasss,4,Tampilan,review nya sangat jelas
11,2020-10-13 22:27:39,1,Recomented banget banyak free nya 🤗😅,5,Produk,recommended sekali banyak free nya
12,2020-10-13 21:23:13,1,ngehabisin kuota tpi stuck aja. down tidak segera diperbaiki. bikin voucher hangus dan responnya lambat👿🤬,5,Layanan,menghabiskan kuota tetapi stuck saja down tidak segera diperbaiki membuat voucher hangus dan responnya lambat
13,2020-10-13 15:27:48,1,Baguss,5,Lainnya,bagus
14,2020-10-13 08:14:26,1,Good,5,Lainnya,good
15,2020-10-12 23:34:39,-1,"ini gimana sih kok malah orderan saya dicancel, padahal sudah melakukan pembayaran tgl 9 oktober eh saya cek hari ini tiba2 cancel sih? ini gimana nih dari pihak sociolla apakah ada refund uang apa gimana? sumpah kecewa banget",2,Layanan,ini bagaimana sih kok menjadi orderan saya dicancel padahal sudah melakukan pembayaran tanggal oktober lalu saya cek hari ini tiba tiba cancel sih ini bagaimana nih dari pihak sociola apakah ada refund uang apa bagaimana sumpah kecewa sekali
16,2020-10-12 21:15:45,1,"Mendingan skrg aplikasinya ga kluar2 sendiri kaya sebelumnya. Cm saran klo bs produk d kranjang biar bs di klik lg klo2 pgn liat lg review produknya sblm beli, kan repot harus back trs search dlu produk lg.",4,Tampilan,lebih baik sekarang aplikasinya tidak keluar keluar sendiri seperti sebelumnya hanya saran kalau bisa produk di keranjang supaya bisa di klik lagi kalau ingin melihat lagi review produknya sebelum membeli kan sulit harus back terus search dahulu produk lagi
17,2020-10-12 18:44:35,1,Bagus bgtt,5,Lainnya,bagus sekali
18,2020-10-12 12:31:31,1,Kok jadi suka nutup sendiri ya aplikasi nya padahal sebelumnya ngga :(,5,Tampilan,kok jadi suka tutup sendiri ya aplikasi nya padahal sebelumnya tidak
